player,PPG,RPG,APG,SPG,BPG,TOV,TS_pct,FG_pct,FT_pct,MPG,GP,seasons,first,last,era,league_TS,TS_plus,pace,P100,o_dpm,d_dpm,dpm,onoff,rTS,PtsCreated,P100_db,pt_adj_rTS,playtype_diff,db_seasons,L1_score,L1_rank,cluster,Tier
Giannis Antetokounmpo,24.6846,10.1,5.1,1.1077,1.1846,3.0692,0.6072,0.5464,0.6935,32.5462,895,13,2013-14,2025-26,2010s+,0.565,1.0747,99,24.93,2.806,1.87,4.675,8.304,4.594,37.607,36.456,3.459,-1.135,13.0,0.6877098183724464,17,2,1
Adrian Dantley,22.7105,5.6211,2.8526,0.9842,0.1737,2.6778,0.6,0.5199,0.8091,34.6368,1107,19,1976-77,1990-91,1980-90s,0.535,1.1215,95,23.91,,,,,,,,,,,0.6430388818091997,18,3,3
Larry Bird,23.7615,9.6846,6.2769,1.6462,0.8385,3.0154,0.559,0.4912,0.8914,37.8692,897,13,1979-80,1991-92,1980-90s,0.535,1.0449,95,25.01,,,,,,,,,,,0.638494771972366,19,2,1
Magic Johnson,19.3846,7.2,10.9231,1.9154,0.4154,3.8692,0.609,0.5188,0.8398,36.4077,906,13,1979-80,1995-96,1980-90s,0.535,1.1383,95,20.4,,,,,,,,,,,0.6327197367703915,20,1,2
Charles Barkley,21.5875,11.7,3.9625,1.4875,0.775,3.0688,0.6031,0.5327,0.7279,36.4125,1073,16,1984-85,1999-00,1980-90s,0.535,1.1273,95,22.72,,,,,,,,,,,0.5905431617790157,21,3,3
Kobe Bryant,24.2,5.2,4.76,1.41,0.46,3.13,0.543,0.4414,0.8349,35.775,1346,20,1996-97,2015-16,2000s,0.535,1.015,93,26.02,4.56,-1.618,2.942,4.978,0.856,38.565,36.473,-3.844,2.85,15.0,0.5778848820133808,22,2,1
Kyrie Irving,24.3562,4.2875,5.6188,1.2938,0.4875,2.4375,0.5882,0.4769,0.8949,34.8625,839,16,2011-12,2024-25,2010s+,0.565,1.0411,99,24.6,3.726,-0.943,2.784,3.799,2.594,37.211,34.442,4.623,2.019,14.0,0.5450936326944608,23,2,1
Shaquille O'Neal,22.0905,10.3857,2.3476,0.5857,2.0952,2.719,0.5883,0.5874,0.5205,33.4714,1268,21,1992-93,2010-11,2000s,0.535,1.0996,93,23.75,1.676,2.82,4.498,6.872,6.155,24.937,32.131,,,11.0,0.5427526180989755,24,3,3
Donovan Mitchell,25.2667,4.3556,4.8889,1.3889,0.3111,2.7,0.5753,0.4523,0.8429,33.8444,604,9,2017-18,2025-26,2010s+,0.565,1.0182,99,25.52,3.786,-0.251,3.537,2.943,0.388,37.256,36.427,2.591,2.203,9.0,0.5382815770034292,25,2,1
Devin Booker,24.7636,4.0636,5.3273,0.8636,0.2909,3.0545,0.5797,0.4621,0.8704,34.3455,731,11,2015-16,2025-26,2010s+,0.565,1.026,99,25.01,2.784,-1.501,1.283,2.843,1.104,37.794,34.653,2.533,1.429,11.0,0.5261387715032103,26,2,1
Allen Iverson,24.16,3.375,5.895,1.855,0.155,3.415,0.5232,0.4337,0.7671,39.325,1064,20,1996-97,2009-10,2000s,0.535,0.9779,93,25.98,2.876,-0.91,1.965,3.364,-1.668,39.849,32.872,,,10.0,0.48635636547158645,27,2,1
Anthony Edwards,24.7,5.25,4.0667,1.35,0.6167,2.8667,0.5729,0.4528,0.7978,34.8833,439,6,2020-21,2025-26,2010s+,0.565,1.014,99,24.95,3.332,-0.207,3.123,1.802,-0.235,34.914,34.215,1.735,1.97,6.0,0.43389160858623504,28,2,1
Dominique Wilkins,24.3412,6.5059,2.4353,1.2176,0.5471,2.4059,0.5303,0.4537,0.8044,34.5824,1148,17,1982-83,1998-99,1980-90s,0.535,0.9912,95,25.62,,,,,,,,,,,0.36920195441754466,29,2,1
Anthony Davis,23.5938,10.6562,2.7875,1.2625,2.2125,2.0438,0.5832,0.5172,0.7753,33.8125,858,16,2012-13,2025-26,2010s+,0.565,1.0322,99,23.83,1.521,1.608,3.129,3.858,2.411,29.98,33.94,1.381,-1.017,14.0,0.33935711745913966,30,3,3
Julius Erving,21.8091,6.6273,3.8455,1.7818,1.5455,3.05,0.556,0.5047,0.78,34.2182,836,11,1976-77,1986-87,1980-90s,0.535,1.0393,95,22.96,,,,,,,,,,,0.3015712846272869,31,2,1
Jayson Tatum,23.3222,7.6111,3.8556,1.1222,0.5889,2.3667,0.5731,0.451,0.8417,34.1778,595,9,2017-18,2025-26,2010s+,0.565,1.0143,99,23.56,3.28,0.568,3.842,6.023,0.941,33.547,33.497,2.468,1.527,8.0,0.28331027848912294,32,2,1
