player,PPG,RPG,APG,SPG,BPG,TOV,TS_pct,FG_pct,FT_pct,MPG,GP,seasons,first,last,era,league_TS,TS_plus,pace,P100,o_dpm,d_dpm,dpm,onoff,rTS,PtsCreated,P100_db,pt_adj_rTS,playtype_diff,db_seasons,L1_score,L1_rank,L2_score,L2_rank
Donovan Mitchell,25.2667,4.3556,4.8889,1.3889,0.3111,2.7,0.5753,0.4523,0.8429,33.8444,604,9,2017-18,2025-26,2010s+,0.565,1.0182,99,25.52,3.786,-0.251,3.537,2.943,0.388,37.256,36.427,2.591,2.203,9.0,0.5382815770034292,25,0.27893891633992535,20
Michael Jordan,29.4533,6.12,5.14,2.2933,0.8333,2.6867,0.5592,0.4883,0.8309,37.5733,1072,15,1984-85,2002-03,1980-90s,0.535,1.0452,95,31.0,3.09,-0.705,2.385,2.975,-4.269,31.276,32.573,2.5620000000000003,1.185,2.0,1.2299130097761468,1,0.2178410383606862,21
Shai Gilgeous-Alexander,25.45,4.7625,5.3875,1.3875,0.8,2.3625,0.6087,0.5031,0.8482,33.3375,524,8,2018-19,2025-26,2010s+,0.565,1.0773,99,25.71,2.786,-0.056,2.729,4.552,3.312,38.908,36.018,5.489,2.177,8.0,0.7792720458896266,10,0.20842288111977797,22
Kyrie Irving,24.3562,4.2875,5.6188,1.2938,0.4875,2.4375,0.5882,0.4769,0.8949,34.8625,839,16,2011-12,2024-25,2010s+,0.565,1.0411,99,24.6,3.726,-0.943,2.784,3.799,2.594,37.211,34.442,4.623,2.019,14.0,0.5450936326944608,23,0.20524886551324092,23
Paul Pierce,18.9316,5.4368,3.3579,1.2579,0.5316,2.5368,0.5654,0.4416,0.8049,33.1895,1343,19,1998-99,2016-17,2000s,0.535,1.0568,93,20.36,2.714,0.618,3.331,6.204,3.254,28.231,29.518,1.333,0.056,16.0,0.061795049207145375,46,0.1780160653150089,24
David Robinson,20.4929,10.4357,2.3714,1.3714,2.8286,2.35,0.5758,0.513,0.723,33.8429,987,14,1989-90,2002-03,2000s,0.535,1.0763,93,22.04,0.213,4.047,4.263,7.777,2.604,14.359,21.816,2.5620000000000003,1.185,3.0,0.2815240602818939,33,0.15388399751199963,25
Anthony Edwards,24.7,5.25,4.0667,1.35,0.6167,2.8667,0.5729,0.4528,0.7978,34.8833,439,6,2020-21,2025-26,2010s+,0.565,1.014,99,24.95,3.332,-0.207,3.123,1.802,-0.235,34.914,34.215,1.735,1.97,6.0,0.43389160858623504,28,0.04712994198059292,26
Manu Ginobili,13.15,3.4812,3.7812,1.3,0.3062,1.9875,0.5805,0.4478,0.8226,25.1375,1057,16,2002-03,2017-18,2000s,0.535,1.085,93,14.14,2.399,1.322,3.723,6.05,3.917,21.666,26.542,2.209,1.103,16.0,-0.49630356079547217,82,0.03486558833749781,27
Paul George,19.5562,6.0062,3.6438,1.625,0.4312,2.6,0.5617,0.4353,0.8392,32.0688,937,16,2010-11,2025-26,2010s+,0.565,0.9942,99,19.75,1.952,1.663,3.615,7.244,0.691,29.339,29.943,2.677,1.972,15.0,-0.20429459877124667,63,0.033458686225321235,28
Ray Allen,19.285,4.155,3.51,1.155,0.18,2.15,0.5804,0.4512,0.8975,35.965,1376,20,1996-97,2013-14,2000s,0.535,1.0849,93,20.74,3.494,-1.538,1.955,4.498,5.235,26.608,27.899,4.664,0.428,14.0,0.2009596552704206,38,0.02562553187815747,29
Jimmy Butler,18.3368,5.3158,4.4737,1.6211,0.4368,1.5579,0.5921,0.4746,0.8362,32.6421,1027,19,2011-12,2025-26,2010s+,0.565,1.048,99,18.52,2.062,1.097,3.159,6.507,3.001,30.749,28.422,3.415,0.444,14.0,-0.12317891320889868,55,-0.008631540695438724,30
Dwyane Wade,20.6944,4.5278,5.1556,1.4722,0.8167,3.05,0.5435,0.4735,0.7563,32.6556,1121,18,2003-04,2018-19,2010s+,0.565,0.9619,99,20.9,3.249,0.039,3.289,4.453,0.819,34.169,33.055,-0.98,1.36,16.0,-0.13715635630403372,57,-0.01803032344819845,31
Karl Malone,24.6895,10.0895,3.5842,1.4105,0.7632,3.0579,0.5738,0.5129,0.7345,37.0526,1476,19,1985-86,2003-04,1980-90s,0.535,1.0725,95,25.99,1.912,0.278,2.19,3.752,2.428,28.895,28.976,2.5620000000000003,1.185,4.0,0.7364101458901492,12,-0.05933854321965576,32
Anthony Davis,23.5938,10.6562,2.7875,1.2625,2.2125,2.0438,0.5832,0.5172,0.7753,33.8125,858,16,2012-13,2025-26,2010s+,0.565,1.0322,99,23.83,1.521,1.608,3.129,3.858,2.411,29.98,33.94,1.381,-1.017,14.0,0.33935711745913966,30,-0.10118927314988246,33
Allen Iverson,24.16,3.375,5.895,1.855,0.155,3.415,0.5232,0.4337,0.7671,39.325,1064,20,1996-97,2009-10,2000s,0.535,0.9779,93,25.98,2.876,-0.91,1.965,3.364,-1.668,39.849,32.872,2.5620000000000003,1.185,10.0,0.48635636547158645,27,-0.1611785656093192,34
Chris Bosh,19.3923,8.4385,2.0462,0.8154,1.0154,2.0308,0.5692,0.4916,0.7955,35.7231,893,13,2003-04,2015-16,2000s,0.535,1.0639,93,20.85,1.328,0.945,2.276,5.192,2.977,24.104,28.488,3.567,0.649,13.0,0.09537368203897,44,-0.2357231202624262,35
Tracy McGrady,17.0706,5.0412,4.1,1.0588,0.7765,1.9706,0.5042,0.4245,0.7334,30.0,968,17,1997-98,2011-12,2000s,0.535,0.9424,93,18.36,3.008,-0.232,2.777,4.583,-2.062,31.415,30.24,2.5620000000000003,1.185,12.0,-0.5140533990106403,84,-0.2562700686636132,36
Devin Booker,24.7636,4.0636,5.3273,0.8636,0.2909,3.0545,0.5797,0.4621,0.8704,34.3455,731,11,2015-16,2025-26,2010s+,0.565,1.026,99,25.01,2.784,-1.501,1.283,2.843,1.104,37.794,34.653,2.533,1.429,11.0,0.5261387715032103,26,-0.2612434750175927,37
Reggie Miller,18.1167,3.0,2.9444,1.0667,0.2111,1.7167,0.6107,0.4682,0.8876,34.25,1389,18,1987-88,2004-05,2000s,0.535,1.1415,93,19.48,2.356,-1.804,0.552,3.724,6.301,20.636,22.918,2.5620000000000003,1.185,5.0,0.2346710300394942,36,-0.3600000069650623,38
Yao Ming,18.5625,8.9125,1.55,0.3625,1.85,2.6125,0.5937,0.5185,0.8465,31.175,486,8,2002-03,2010-11,2000s,0.535,1.1097,93,19.96,-0.076,2.801,2.727,3.642,5.86,23.666,31.665,2.5620000000000003,1.185,7.0,0.13813147387211622,41,-0.3985068278104368,39
Russell Westbrook,20.425,6.795,7.87,1.51,0.35,3.835,0.5247,0.4399,0.7434,32.61,1374,20,2008-09,2025-26,2010s+,0.565,0.9287,99,20.63,2.782,-0.218,2.567,2.446,-3.221,38.959,30.53,-2.704,0.855,18.0,-0.1714873484946538,60,-0.40100931616200897,40
Jason Kidd,12.2348,6.1652,8.8261,1.9522,0.3261,2.8652,0.5081,0.3978,0.782,35.9739,1526,23,1994-95,2012-13,2000s,0.535,0.9497,93,13.16,1.208,2.038,3.248,6.341,-1.894,30.224,17.45,2.5620000000000003,1.185,13.0,-0.8648426323339944,95,-0.49925758587018715,41
Vince Carter,16.6,4.2269,2.9885,1.0077,0.5654,1.6462,0.5286,0.4265,0.7863,30.0538,1691,26,1998-99,2019-20,2000s,0.535,0.988,93,17.85,1.223,0.206,1.429,5.644,-1.214,22.46,26.467,-2.53,1.207,20.0,-0.45734653970578937,80,-0.6165167070801276,42
Ja Morant,22.6143,4.6429,7.5714,1.0143,0.3286,3.3714,0.5542,0.46,0.7924,31.8286,327,7,2019-20,2025-26,2010s+,0.565,0.9809,99,22.84,2.127,-1.018,1.11,1.344,-2.282,39.925,33.483,-0.535,1.747,6.0,0.22656148785738617,37,-0.6356989364340835,43
Carmelo Anthony,22.3714,6.2571,2.6619,0.9429,0.5286,2.3619,0.5417,0.4437,0.8136,34.4048,1337,21,2003-04,2021-22,2010s+,0.565,0.9588,99,22.6,2.275,-1.133,1.141,1.746,-0.574,28.821,32.675,0.041,1.758,18.0,-0.05616343833645844,52,-0.6357359820609918,44
Klay Thompson,18.5462,3.4077,2.2538,0.7846,0.4923,1.5692,0.5682,0.4439,0.8553,31.1,929,13,2011-12,2025-26,2010s+,0.565,1.0057,99,18.73,1.481,-0.558,0.922,3.439,0.961,23.656,28.842,1.552,0.498,13.0,-0.3325123203673178,71,-0.7304164860949947,45
Dwight Howard,15.3889,11.5278,1.2889,0.8667,1.6778,2.5778,0.6095,0.5958,0.5683,31.1,1242,18,2004-05,2021-22,2010s+,0.565,1.0788,99,15.54,0.041,1.699,1.738,3.206,5.766,18.756,24.82,3.546,-2.701,17.0,-0.4441568416492618,78,-0.7835558801885939,46
Pau Gasol,15.5136,8.5182,2.9955,0.4591,1.4318,1.9318,0.5521,0.4896,0.7437,30.9455,1322,22,2001-02,2018-19,2000s,0.535,1.032,93,16.68,0.871,0.231,1.102,2.839,2.476,24.8,26.303,-0.725,-0.438,17.0,-0.4233645083309085,77,-0.8430516073124817,47
Tony Parker,15.3722,2.6611,5.5889,0.8167,0.0778,2.2556,0.542,0.4862,0.7476,30.1278,1254,18,2001-02,2018-19,2000s,0.535,1.0131,93,16.53,1.176,-0.733,0.442,1.914,0.122,28.286,26.393,0.132,2.286,18.0,-0.41848382159277125,75,-1.0063274331469267,48
Draymond Green,8.6071,6.8214,5.7714,1.3143,0.9786,2.3857,0.5337,0.4436,0.7171,28.7214,942,14,2012-13,2025-26,2010s+,0.565,0.9446,99,8.69,-0.548,2.874,2.325,6.822,-2.657,22.301,14.219,-3.805,-1.974,14.0,-1.4745290924532652,100,-1.0477342853091085,49
Gary Payton,16.7526,3.9526,6.8684,1.8105,0.2158,2.2632,0.5199,0.4603,0.7248,35.7684,1415,19,1990-91,2006-07,2000s,0.535,0.9718,93,18.01,1.194,-0.726,0.467,-1.577,-1.509,28.646,21.79,2.5620000000000003,1.185,7.0,-0.349371162881351,72,-1.2342321148712487,50
Hakeem Olajuwon,21.0056,10.8389,2.4056,1.7167,2.9944,2.8944,0.5454,0.5067,0.7017,35.15,1238,18,1984-85,2001-02,1980-90s,0.535,1.0194,95,22.11,-2.03,2.735,0.705,0.836,-1.9,12.106,20.254,2.5620000000000003,1.185,2.0,0.09772540973254465,43,-1.298628848201429,51
Scottie Pippen,15.5235,6.1588,5.1059,1.9,0.7647,2.7,0.5277,0.4618,0.7047,34.2235,1178,17,1987-88,2003-04,2000s,0.535,0.9864,93,16.69,-0.195,0.78,0.58,-2.226,-1.948,18.951,17.91,2.5620000000000003,1.185,4.0,-0.5027678304986041,83,-1.4743010054959058,52
Patrick Ewing,20.5765,9.7294,1.7941,0.9471,2.3941,2.9529,0.5443,0.4954,0.7332,34.0235,1183,17,1985-86,2001-02,1980-90s,0.535,1.0174,95,21.66,-3.19,0.455,-2.73,-6.12,-3.374,9.785,20.747,2.5620000000000003,1.185,2.0,0.017254646936510784,50,-2.4825020975758063,53
