player,seasons,d_Points_Per100,TS_pct,rTSPct,d_Points_Created_Per100,o_dpm,d_Assists_Per100,career_OnOff,weighted_OnOff,predicted,rank
Stephen Curry,16,35.127312499999995,0.6244375,6.9239375,55.3745625,4.5175,8.835687499999999,9.786000000000001,10.027361629551569,10.027686203620354,1
LeBron James,23,36.36752173913043,0.5928260869565216,4.262347826086957,60.05121739130434,5.286086956521738,10.10395652173913,9.643695652173914,9.939153344074711,10.784276958216967,2
Shaquille O'Neal,11,32.13109090909091,0.593090909090909,6.155,40.38309090909092,1.676363636363636,3.610636363636364,6.872,8.07197859832828,1.7620856577550184,3
Kobe Bryant,15,36.47326666666666,0.5408666666666667,0.855533333333333,52.11740000000001,4.56,6.873199999999999,4.977666666666665,6.024224520735523,7.278026400091719,4
Kevin Durant,18,36.716611111111106,0.6227222222222222,6.908055555555555,50.80988888888889,4.415,6.059055555555556,6.008333333333334,5.733295337260811,9.83521479125002,5
James Harden,17,33.56411764705882,0.6068823529411764,5.126470588235295,57.76223529411765,4.6364705882352935,10.281,4.6887058823529415,4.6994862734889,9.313314921091767,6
Luka Doncic,8,40.74275,0.5902499999999999,1.826875,68.49275,4.45125,11.466874999999998,3.90575,3.8465083923493,5.491809314984785,7
Michael Jordan,2,32.573499999999996,0.477,-4.269,47.519499999999994,3.09,6.817,2.975,2.9164107073075423,0.3215493893529997,8
