player,years,n_seasons,d_Points_Per100,TS_pct,rTSPct,d_Points_Created_Per100,o_dpm,d_Assists_Per100,actual_OnOff,predicted_impact,rank
LeBron James,2009-2016,5,38.391200000000005,0.6142,7.3462000000000005,62.3794,7.214,10.102799999999998,15.849799999999998,12.499003736338441,1
Kevin Durant,2013-2017,5,38.0582,0.6366,9.6006,53.428399999999996,6.247999999999999,6.5922,9.106200000000001,11.261496843163624,2
Stephen Curry,2015-2019,5,37.6254,0.6492000000000001,10.0496,58.88259999999999,6.083999999999999,9.198599999999999,17.816799999999997,10.657229749402253,3
James Harden,2015-2019,5,40.8846,0.611,6.2538,67.8694,6.274,11.258799999999999,5.9458,8.875788082112383,4
Kobe Bryant,2003-2010,5,38.511799999999994,0.5546,1.8226,53.7562,5.787999999999999,6.689400000000001,11.3286,6.5880788147672185,5
Shaquille O'Neal,2001-2005,5,35.9714,0.586,6.5378,45.8854,4.050000000000001,4.352200000000001,11.8342,4.672986007539747,6
Luka Doncic,2020-2026,5,42.6528,0.6042,2.8628,70.564,4.92,11.567199999999998,6.4104,2.8678338470560876,7
Michael Jordan,2002-2003,2,32.573499999999996,0.477,-4.269,47.519499999999994,3.09,6.817,2.975,-2.6084534440161216,8
