GamesPlayed,Minutes,Pos2,TS_pct,TeamAbbreviation,d_Assists_Per100,d_Assists_PerGame,d_Points_Created_Per100,d_Points_Created_PerGame,d_Points_Per100,d_Points_PerGame,dpm,nba_id,netrtg_on_off,o_dpm,player_name,playoffs,rTSPct,year,_target_name
78,3038,SF,0.583,OKC,3.596,2.744,44.312,33.808,36.313,27.705,3.56,201142,0.432,4.1,Kevin Durant,0,4.209,2011,Kevin Durant
82,2188,SG,0.595,OKC,4.19,2.146,33.738,17.28,23.762,12.171,2.83,201935,2.311,2.35,James Harden,0,5.372,2011,James Harden
74,2489,PG,0.592,GSW,8.649,5.838,46.707,31.527,27.487,18.554,1.75,201939,4.06,2.15,Stephen Curry,0,5.068,2011,Stephen Curry
58,2232,SG,0.522,LAL,6.199,4.552,51.561,37.862,37.943,27.862,2.73,977,4.795,4.47,Kobe Bryant,0,-0.455,2012,Kobe Bryant
62,2326,SF,0.603,MIA,8.648,6.242,57.095,41.21,37.609,27.145,8.39,2544,14.103,6.85,LeBron James,0,7.552,2012,LeBron James
66,2546,SF,0.604,OKC,4.615,3.5,47.792,36.242,36.963,28.03,4.81,201142,3.301,5.32,Kevin Durant,0,7.713,2012,Kevin Durant
62,1946,SG,0.657,OKC,6.11,3.694,42.156,25.484,27.855,16.839,3.28,201935,8.635,3.71,James Harden,0,12.985,2012,James Harden
26,732,PG,0.6,GSW,9.563,5.308,47.956,26.615,26.542,14.731,2.65,201939,10.144,2.34,Stephen Curry,0,7.268,2012,Stephen Curry
78,3013,SG,0.566,LAL,7.901,6.013,54.33,41.346,35.933,27.346,2.35,977,2.96,4.22,Kobe Bryant,0,3.147,2013,Kobe Bryant
76,2877,PF,0.638,MIA,10.105,7.25,61.141,43.868,37.337,26.789,8.63,2544,16.211,7.07,LeBron James,0,10.278,2013,LeBron James
81,3119,SF,0.639,OKC,6.156,4.617,52.346,39.259,37.531,28.148,5.8,201142,8.21,5.93,Kevin Durant,0,10.391,2013,Kevin Durant
78,2985,SG,0.596,HOU,7.557,5.833,51.835,40.013,33.599,25.936,4.33,201935,-3.515,5.31,James Harden,0,6.053,2013,James Harden
78,2983,PG,0.585,GSW,9.106,6.91,50.127,38.038,30.174,22.897,3.82,201939,2.294,3.55,Stephen Curry,0,4.985,2013,Stephen Curry
77,2902,PF,0.649,MIA,8.793,6.338,58.468,42.143,37.64,27.13,8.11,2544,7.412,7.12,LeBron James,0,10.806,2014,LeBron James
81,3122,SF,0.631,OKC,7.097,5.494,57.368,44.407,41.356,32.012,6.37,201142,7.189,6.63,Kevin Durant,0,9.005,2014,Kevin Durant
73,2778,SG,0.612,HOU,7.967,6.11,51.697,39.644,33.065,25.356,4.49,201935,7.777,5.82,James Harden,0,7.128,2014,James Harden
78,2846,PG,0.609,GSW,11.587,8.538,58.438,43.064,32.585,24.013,5.79,201939,15.552,4.91,Stephen Curry,0,6.803,2014,Stephen Curry
35,1207,SG,0.474,LAL,8.201,5.629,50.916,34.943,32.556,22.343,-1.27,977,-7.418,1.52,Kobe Bryant,0,-6.045,2015,Kobe Bryant
69,2494,SF,0.576,CLE,10.635,7.406,61.873,43.087,36.275,25.261,7.88,2544,16.926,6.68,LeBron James,0,4.161,2015,LeBron James
27,913,SF,0.629,OKC,5.927,4.074,50.431,34.667,36.961,25.407,6.61,201142,7.764,6.42,Kevin Durant,0,9.505,2015,Kevin Durant
81,2981,SG,0.598,HOU,9.464,6.975,60.251,44.407,37.136,27.37,5.94,201935,8.265,6.62,James Harden,0,6.409,2015,James Harden
80,2613,PG,0.636,GSW,11.364,7.738,60.988,41.525,34.882,23.75,7.08,201939,18.791,6.16,Stephen Curry,0,10.236,2015,Stephen Curry
66,1863,SF,0.468,LAL,4.886,2.788,41.875,23.894,30.828,17.591,-1.87,977,-10.431,1.25,Kobe Bryant,0,-7.343,2016,Kobe Bryant
76,2709,SF,0.59,CLE,9.785,6.763,60.689,41.947,36.551,25.263,8.64,2544,17.212,6.94,LeBron James,0,4.948,2016,LeBron James
72,2578,SF,0.631,OKC,6.889,5.014,54.504,39.667,38.721,28.181,6.34,201142,13.921,6.43,Kevin Durant,0,9.012,2016,Kevin Durant
82,3125,SG,0.595,HOU,9.662,7.463,60.53,46.756,37.512,28.976,5.43,201935,7.331,6.2,James Harden,0,5.443,2016,James Harden
79,2700,PG,0.669,GSW,9.244,6.671,63.094,45.532,41.659,30.063,7.65,201939,22.96,6.59,Stephen Curry,0,12.781,2016,Stephen Curry
74,2795,SF,0.622,CLE,11.621,8.73,64.67,48.581,35.15,26.405,8.26,2544,16.821,6.66,LeBron James,0,7.049,2017,LeBron James
62,2070,PF,0.653,GSW,6.892,4.839,52.493,36.855,35.722,25.081,5.84,201142,8.447,5.83,Kevin Durant,0,10.09,2017,Kevin Durant
81,2947,PG,0.619,HOU,14.755,11.198,73.825,56.025,38.328,29.086,5.1,201935,3.92,6.29,James Harden,0,6.684,2017,James Harden
79,2639,PG,0.624,GSW,9.322,6.633,57.107,40.633,35.563,25.304,8.02,201939,18.587,6.26,Stephen Curry,0,7.182,2017,Stephen Curry
82,3026,PF,0.625,CLE,12.135,9.11,66.423,49.866,36.566,27.451,7.04,2544,3.187,6.23,LeBron James,0,6.854,2018,LeBron James
68,2325,SF,0.64,GSW,7.528,5.382,54.607,39.044,36.857,26.353,4.99,201142,2.046,5.36,Kevin Durant,0,8.417,2018,Kevin Durant
72,2551,SG,0.622,HOU,12.271,8.75,71.913,51.278,42.676,30.431,5.68,201935,5.288,6.39,James Harden,0,6.619,2018,James Harden
51,1631,PG,0.673,GSW,8.839,6.078,58.711,40.373,38.38,26.392,7.16,201939,12.196,6.08,Stephen Curry,0,11.667,2018,Stephen Curry
55,1937,SF,0.59,LAL,10.961,8.255,61.782,46.527,36.335,27.364,5.83,2544,8.093,5.23,LeBron James,0,3.018,2019,LeBron James
78,2702,SF,0.629,GSW,7.998,5.859,54.865,40.192,35.474,25.987,4.53,201142,16.584,4.81,Kevin Durant,0,6.887,2019,Kevin Durant
78,2867,PG,0.621,HOU,10.142,7.513,72.828,53.949,48.771,36.128,5.21,201935,4.925,5.87,James Harden,0,6.114,2019,James Harden
69,2331,PG,0.644,GSW,7.224,5.232,54.513,39.478,37.643,27.261,5.82,201939,16.55,5.33,Stephen Curry,0,8.382,2019,Stephen Curry
72,2318,SG,0.543,DAL,8.994,5.958,53.962,35.75,31.992,21.194,1.9,1629029,-3.321,2.99,Luka Doncic,0,-1.661,2019,Luka Doncic
67,2316,PG,0.581,LAL,14.28,10.209,68.894,49.254,35.449,25.343,6.46,2544,10.287,5.03,LeBron James,0,1.621,2020,LeBron James
68,2483,SG,0.63,HOU,9.721,7.529,67.61,52.368,44.333,34.338,5.91,201935,9.992,5.77,James Harden,0,6.489,2020,James Harden
61,2047,PG,0.591,DAL,12.641,8.82,72.345,50.475,41.33,28.836,3.34,1629029,0.982,4.96,Luka Doncic,0,2.59,2020,Luka Doncic
45,1504,PG,0.607,LAL,11.416,7.778,64.025,43.622,36.725,25.022,6.48,2544,10.661,5.03,LeBron James,0,3.45,2021,LeBron James
35,1157,PF,0.667,BKN,8.021,5.571,57.672,40.057,38.791,26.943,5.73,201142,10.314,5.28,Kevin Durant,0,9.547,2021,Kevin Durant
44,1609,PG,0.614,BKN,14.464,10.795,66.87,49.909,32.978,24.614,4.9,201935,5.501,5.18,James Harden,0,4.232,2021,James Harden
63,2152,PG,0.66,GSW,7.77,5.762,61.173,45.365,43.129,31.984,4.59,201939,8.893,5.24,Stephen Curry,0,8.766,2021,Stephen Curry
66,2254,PG,0.588,DAL,12.366,8.591,69.902,48.561,39.913,27.727,2.86,1629029,3.121,4.09,Luka Doncic,0,1.602,2021,Luka Doncic
56,2084,C,0.625,LAL,8.154,6.232,59.299,45.321,39.603,30.268,5.53,2544,2.339,4.99,LeBron James,0,5.855,2022,LeBron James
55,2047,PF,0.632,BKN,8.253,6.382,57.794,44.691,38.632,29.873,4.92,201142,11.681,5.08,Kevin Durant,0,6.581,2022,Kevin Durant
65,2420,PG,0.586,PHI,13.601,10.262,60.522,45.662,29.201,22.031,3.75,201935,3.18,3.62,James Harden,0,1.961,2022,James Harden
64,2211,PG,0.602,GSW,8.834,6.312,56.309,40.234,35.644,25.469,4.83,201939,10.411,4.78,Stephen Curry,0,3.64,2022,Stephen Curry
65,2301,PG,0.57,DAL,12.539,8.738,71.258,49.662,40.773,28.415,3.28,1629029,-0.606,3.93,Luka Doncic,0,0.36,2022,Luka Doncic
55,1954,PF,0.587,LAL,9.135,6.818,59.927,44.727,38.733,28.909,4.14,2544,8.384,3.36,LeBron James,0,0.58,2023,LeBron James
47,1672,PF,0.681,PHX,6.902,5.0,56.388,40.851,40.117,29.064,5.02,201142,7.17,4.41,Kevin Durant,0,9.964,2023,Kevin Durant
58,2135,PG,0.607,PHI,14.69,10.655,62.871,45.603,28.904,20.966,4.22,201935,4.105,4.01,James Harden,0,2.629,2023,James Harden
56,1941,PG,0.659,GSW,8.433,6.286,59.559,44.393,39.483,29.429,4.72,201939,8.085,4.91,Stephen Curry,0,7.771,2023,Stephen Curry
66,2391,PG,0.608,DAL,11.019,8.015,71.943,52.333,44.532,32.394,3.58,1629029,4.953,4.57,Luka Doncic,0,2.725,2023,Luka Doncic
71,2504,PF,0.637,LAL,11.353,8.296,61.411,44.873,35.12,25.662,4.48,2544,9.592,3.75,LeBron James,0,5.695,2024,LeBron James
