player,nba_id,season,team,age,GP,GS,MIN,PPG,RPG,APG,SPG,BPG,TOV,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,TS_pct
Kawhi Leonard,202695,2025-26,LAC,34.0,58,58.0,32.2,28.3,6.3,3.6,2.0,0.4,2.1,9.9,19.6,0.504,2.6,6.9,0.381,6.0,6.6,0.899,0.6288
Damian Lillard,203081,2012-13,POR,22.0,82,82.0,38.6,19.0,3.1,6.5,0.9,0.2,3.0,6.7,15.7,0.429,2.3,6.1,0.368,3.3,3.9,0.844,0.5455
Damian Lillard,203081,2013-14,POR,23.0,82,82.0,35.8,20.7,3.5,5.6,0.8,0.3,2.4,6.7,15.9,0.424,2.7,6.8,0.394,4.5,5.2,0.871,0.5691
Damian Lillard,203081,2014-15,POR,24.0,82,82.0,35.7,21.0,4.6,6.2,1.2,0.3,2.7,7.2,16.6,0.434,2.4,7.0,0.343,4.2,4.9,0.864,0.5598
Damian Lillard,203081,2015-16,POR,25.0,75,75.0,35.7,25.1,4.0,6.8,0.9,0.4,3.2,8.2,19.7,0.419,3.1,8.1,0.375,5.5,6.2,0.892,0.5596
Damian Lillard,203081,2016-17,POR,26.0,75,75.0,35.9,27.0,4.9,5.9,0.9,0.3,2.6,8.8,19.8,0.444,2.9,7.7,0.37,6.5,7.3,0.895,0.5867
Damian Lillard,203081,2017-18,POR,27.0,73,73.0,36.6,26.9,4.5,6.6,1.1,0.4,2.8,8.5,19.4,0.439,3.1,8.6,0.361,6.8,7.4,0.916,0.5937
Damian Lillard,203081,2018-19,POR,28.0,80,80.0,35.5,25.8,4.6,6.9,1.1,0.4,2.7,8.5,19.2,0.444,3.0,8.0,0.369,5.9,6.4,0.912,0.5859
Damian Lillard,203081,2019-20,POR,29.0,66,66.0,37.5,30.0,4.3,8.0,1.1,0.3,2.9,9.5,20.4,0.463,4.1,10.2,0.401,7.0,7.8,0.888,0.6294
Damian Lillard,203081,2020-21,POR,30.0,67,67.0,35.8,28.8,4.2,7.5,0.9,0.3,3.0,9.0,19.9,0.451,4.1,10.5,0.391,6.7,7.2,0.928,0.6242
Damian Lillard,203081,2021-22,POR,31.0,29,29.0,36.4,24.0,4.1,7.3,0.6,0.4,2.9,7.7,19.0,0.402,3.2,9.8,0.324,5.5,6.2,0.878,0.5523
Damian Lillard,203081,2022-23,POR,32.0,58,58.0,36.3,32.2,4.8,7.3,0.9,0.3,3.3,9.6,20.7,0.463,4.2,11.3,0.371,8.8,9.6,0.914,0.646
Damian Lillard,203081,2023-24,MIL,33.0,73,73.0,35.3,24.3,4.4,7.0,1.0,0.2,2.6,7.4,17.5,0.424,3.0,8.5,0.354,6.5,7.0,0.92,0.5904
Damian Lillard,203081,2024-25,MIL,34.0,58,58.0,36.1,24.9,4.7,7.1,1.2,0.2,2.8,7.7,17.1,0.448,3.4,9.0,0.376,6.2,6.8,0.921,0.6196
Jerry Lucas,77418,1963-64,CIN,24.0,79,,41.4,17.7,17.4,2.6,,,,6.9,13.1,0.527,,,,3.9,5.0,0.779,0.5784
Jerry Lucas,77418,1964-65,CIN,25.0,66,,43.4,21.4,20.0,2.4,,,,8.5,17.0,0.498,,,,4.5,5.5,0.814,0.551
Jerry Lucas,77418,1965-66,CIN,26.0,79,,44.5,21.5,21.1,2.7,,,,8.7,19.3,0.453,,,,4.0,5.1,0.787,0.499
Jerry Lucas,77418,1966-67,CIN,27.0,81,,43.9,17.8,19.1,3.3,,,,7.1,15.5,0.459,,,,3.5,4.4,0.791,0.5104
Jerry Lucas,77418,1967-68,CIN,28.0,82,,44.1,21.5,19.0,3.1,,,,8.6,16.6,0.519,,,,4.2,5.4,0.778,0.5665
Jerry Lucas,77418,1968-69,CIN,29.0,74,,41.6,18.3,18.4,4.1,,,,7.5,13.6,0.551,,,,3.3,4.4,0.755,0.589
Jerry Lucas,77418,1969-70,CIN,30.0,4,,29.5,10.3,11.3,1.8,,,,4.5,8.8,0.514,,,,1.3,1.8,0.714,0.5369
Jerry Lucas,77418,1969-70,SFW,30.0,63,,36.5,15.4,14.4,2.6,,,,6.1,12.1,0.507,,,,3.1,3.9,0.786,0.5573
Jerry Lucas,77418,1969-70,TOT,30.0,67,,36.1,15.1,14.2,2.6,,,,6.0,11.9,0.507,,,,3.0,3.8,0.784,0.5563
Jerry Lucas,77418,1970-71,SFW,31.0,80,,40.6,19.2,15.8,3.7,,,,7.8,15.6,0.498,,,,3.6,4.6,0.787,0.5447
Jerry Lucas,77418,1971-72,NYK,32.0,77,,38.0,16.7,13.1,4.1,,,,7.1,13.8,0.512,,,,2.6,3.2,0.791,0.5491
Jerry Lucas,77418,1972-73,NYK,33.0,71,,28.2,9.9,7.2,4.5,,,,4.4,8.6,0.513,,,,1.1,1.4,0.8,0.5371
Jerry Lucas,77418,1973-74,NYK,34.0,73,,22.3,6.2,5.1,3.2,0.4,0.3,,2.7,5.8,0.462,,,,0.9,1.3,0.698,0.4865
Karl Malone,252,1985-86,UTH,22.0,81,76.0,30.6,14.9,8.9,2.9,1.3,0.5,3.4,6.2,12.5,0.496,0.0,0.0,0.0,2.4,5.0,0.481,0.5068
Karl Malone,252,1986-87,UTH,23.0,82,82.0,34.8,21.7,10.4,1.9,1.3,0.7,2.9,8.9,17.3,0.512,0.0,0.1,0.0,3.9,6.6,0.598,0.537
Karl Malone,252,1987-88,UTH,24.0,82,82.0,39.0,27.7,12.0,2.4,1.4,0.6,4.0,10.5,20.1,0.52,0.0,0.1,0.0,6.7,9.6,0.7,0.5694
Karl Malone,252,1988-89,UTH,25.0,80,80.0,39.1,29.1,10.7,2.7,1.8,0.9,3.6,10.1,19.5,0.519,0.1,0.2,0.313,8.8,11.5,0.766,0.5924
Karl Malone,252,1989-90,UTH,26.0,82,82.0,38.1,31.0,11.1,2.8,1.5,0.6,3.7,11.1,19.8,0.562,0.2,0.5,0.372,8.5,11.1,0.762,0.6279
Karl Malone,252,1990-91,UTH,27.0,82,82.0,40.3,29.0,11.8,3.3,1.1,1.0,3.0,10.3,19.6,0.527,0.0,0.2,0.286,8.3,10.8,0.77,0.5954
Karl Malone,252,1991-92,UTH,28.0,81,81.0,37.7,28.0,11.2,3.0,1.3,0.6,3.1,9.9,18.7,0.526,0.0,0.2,0.176,8.3,10.7,0.778,0.5981
Karl Malone,252,1992-93,UTH,29.0,82,82.0,37.8,27.0,11.2,3.8,1.5,1.0,2.9,9.7,17.6,0.552,0.0,0.2,0.2,7.5,10.2,0.74,0.6112
Karl Malone,252,1993-94,UTH,30.0,82,82.0,40.6,25.2,11.5,4.0,1.5,1.5,2.9,9.4,18.9,0.497,0.1,0.4,0.25,6.2,9.0,0.694,0.5512
Karl Malone,252,1994-95,UTH,31.0,82,82.0,38.1,26.7,10.6,3.5,1.6,1.0,2.9,10.1,18.9,0.536,0.1,0.5,0.268,6.3,8.5,0.742,0.5897
Karl Malone,252,1995-96,UTH,32.0,82,82.0,38.0,25.7,9.8,4.2,1.7,0.7,2.4,9.6,18.5,0.519,0.2,0.5,0.4,6.2,8.6,0.723,0.5766
Karl Malone,252,1996-97,UTA,33.0,82,82.0,36.6,27.4,9.9,4.5,1.4,0.6,2.8,10.5,19.2,0.55,0.0,0.2,0.0,6.4,8.4,0.755,0.5984
Karl Malone,252,1997-98,UTA,34.0,81,81.0,37.4,27.0,10.3,3.9,1.2,0.9,3.0,9.6,18.2,0.53,0.0,0.1,0.333,7.8,10.2,0.761,0.595
Karl Malone,252,1998-99,UTA,35.0,49,49.0,37.4,23.8,9.4,4.1,1.3,0.6,3.3,8.0,16.3,0.493,0.0,0.0,0.0,7.7,9.8,0.788,0.5773
Karl Malone,252,1999-00,UTA,36.0,82,82.0,35.9,25.5,9.5,3.7,1.0,0.9,2.8,9.2,18.0,0.509,0.0,0.1,0.25,7.2,9.0,0.797,0.5806
Karl Malone,252,2000-01,UTA,37.0,81,81.0,35.7,23.2,8.3,4.5,1.1,0.8,3.0,8.3,16.6,0.498,0.0,0.1,0.4,6.6,8.3,0.793,0.5728
Karl Malone,252,2001-02,UTA,38.0,80,80.0,38.0,22.4,8.6,4.3,1.9,0.7,3.3,7.9,17.5,0.454,0.1,0.3,0.36,6.4,8.0,0.797,0.5328
Karl Malone,252,2002-03,UTA,39.0,81,81.0,36.2,20.6,7.8,4.7,1.7,0.4,2.6,7.3,15.9,0.462,0.0,0.2,0.214,5.9,7.7,0.763,0.534
Karl Malone,252,2003-04,LAL,40.0,42,42.0,32.7,13.2,8.7,3.9,1.2,0.5,2.5,4.6,9.5,0.483,0.0,0.0,0.0,4.0,5.4,0.747,0.5557
Moses Malone,77449,1976-77,BUF,22.0,2,0.0,3.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,
Moses Malone,77449,1976-77,HOU,22.0,80,70.0,31.3,13.5,13.4,1.1,0.8,2.3,,4.9,10.1,0.48,,,,3.8,5.5,0.693,0.5391
Moses Malone,77449,1976-77,TOT,22.0,82,70.0,30.6,13.2,13.1,1.1,0.8,2.2,,4.7,9.9,0.48,,,,3.7,5.4,0.693,0.5376
Moses Malone,77449,1977-78,HOU,23.0,59,59.0,35.7,19.4,15.0,0.5,0.8,1.3,3.7,7.0,14.0,0.499,,,,5.4,7.5,0.718,0.5607
Moses Malone,77449,1978-79,HOU,24.0,82,82.0,41.3,24.8,17.6,1.8,1.0,1.5,4.0,8.7,16.2,0.54,,,,7.3,9.9,0.739,0.6032
Moses Malone,77449,1979-80,HOU,25.0,82,82.0,38.3,25.8,14.5,1.8,1.0,1.3,3.7,9.5,18.9,0.502,0.0,0.1,0.0,6.9,9.5,0.719,0.5589
Moses Malone,77449,1980-81,HOU,26.0,80,80.0,40.6,27.8,14.8,1.8,1.0,1.9,3.9,10.1,19.3,0.522,0.0,0.0,0.333,7.6,10.1,0.757,0.5854
Moses Malone,77449,1981-82,HOU,27.0,81,81.0,42.0,31.1,14.7,1.8,0.9,1.5,3.6,11.7,22.5,0.519,0.0,0.1,0.0,7.8,10.2,0.762,0.5762
Moses Malone,77449,1982-83,PHL,28.0,78,78.0,37.5,24.5,15.3,1.3,1.1,2.0,3.4,8.4,16.7,0.501,0.0,0.0,0.0,7.7,10.1,0.761,0.5794
Moses Malone,77449,1983-84,PHL,29.0,71,71.0,36.8,22.7,13.4,1.4,1.0,1.5,3.5,7.5,15.5,0.483,0.0,0.1,0.0,7.7,10.2,0.75,0.5678
Moses Malone,77449,1984-85,PHL,30.0,79,79.0,37.4,24.6,13.1,1.6,0.8,1.6,3.6,7.6,16.3,0.469,0.0,0.0,0.0,9.3,11.4,0.815,0.577
Moses Malone,77449,1985-86,PHL,31.0,74,74.0,36.6,23.8,11.8,1.2,0.9,1.0,3.5,7.7,16.8,0.458,0.0,0.0,0.0,8.3,10.6,0.787,0.5544
Moses Malone,77449,1986-87,WAS,32.0,73,70.0,34.1,24.1,11.3,1.6,0.8,1.3,2.8,8.2,18.0,0.454,0.0,0.2,0.0,7.8,9.5,0.824,0.5433
Moses Malone,77449,1987-88,WAS,33.0,79,78.0,34.1,20.3,11.2,1.4,0.7,0.9,3.2,6.7,13.8,0.487,0.0,0.1,0.286,6.9,8.7,0.788,0.5758
Moses Malone,77449,1988-89,ATL,34.0,81,80.0,35.5,20.2,11.8,1.4,1.0,1.2,3.0,6.6,13.5,0.491,0.0,0.1,0.0,6.9,8.8,0.789,0.5814
Moses Malone,77449,1989-90,ATL,35.0,81,81.0,33.8,18.9,10.0,1.6,0.6,1.0,2.9,6.4,13.3,0.48,0.0,0.1,0.111,6.1,7.8,0.781,0.5648
Moses Malone,77449,1990-91,ATL,36.0,82,15.0,23.3,10.6,8.1,0.8,0.4,0.9,1.7,3.4,7.3,0.468,0.0,0.1,0.0,3.8,4.5,0.831,0.5711
Moses Malone,77449,1991-92,MIL,37.0,82,77.0,30.6,15.6,9.1,1.1,0.9,0.8,1.8,5.4,11.3,0.474,0.0,0.1,0.375,4.8,6.1,0.786,0.5578
Moses Malone,77449,1992-93,MIL,38.0,11,0.0,9.5,4.5,4.2,0.6,0.1,0.7,0.9,1.2,3.8,0.31,0.0,0.0,0.0,2.2,2.8,0.774,0.4471
Moses Malone,77449,1993-94,PHL,39.0,55,0.0,11.2,5.3,4.1,0.6,0.2,0.3,1.1,1.9,4.2,0.44,0.0,0.0,0.0,1.6,2.1,0.769,0.5172
Moses Malone,77449,1994-95,SAN,40.0,17,0.0,8.8,2.9,2.7,0.4,0.1,0.2,0.6,0.8,2.1,0.371,0.1,0.1,0.5,1.3,1.9,0.688,0.4939
Pete Maravich,77459,1970-71,ATL,24.0,81,,36.1,23.2,3.7,4.4,,,,9.1,19.9,0.458,,,,5.0,6.2,0.8,0.5126
Pete Maravich,77459,1971-72,ATL,25.0,66,,34.9,19.3,3.9,6.0,,,,7.0,16.3,0.427,,,,5.4,6.6,0.811,0.5025
Pete Maravich,77459,1972-73,ATL,26.0,79,,39.1,26.1,4.4,6.9,,,,10.0,22.6,0.441,,,,6.1,7.7,0.8,0.5022
Pete Maravich,77459,1973-74,ATL,27.0,76,,38.2,27.7,4.9,5.2,1.5,0.2,,10.8,23.6,0.457,,,,6.2,7.5,0.826,0.5149
Pete Maravich,77459,1974-75,NOJ,28.0,79,,36.1,21.5,5.3,6.2,1.5,0.2,,8.3,19.8,0.419,,,,4.9,6.1,0.811,0.4781
Pete Maravich,77459,1975-76,NOJ,29.0,62,,38.3,25.9,4.8,5.4,1.4,0.4,,9.7,21.2,0.459,,,,6.4,7.9,0.811,0.5248
Pete Maravich,77459,1976-77,NOJ,30.0,73,,41.7,31.1,5.1,5.4,1.2,0.3,,12.1,28.0,0.433,,,,6.9,8.2,0.835,0.492
Pete Maravich,77459,1977-78,NOJ,31.0,50,,40.8,27.0,3.6,6.7,2.0,0.2,5.0,11.1,25.1,0.444,,,,4.8,5.5,0.87,0.4906
Pete Maravich,77459,1978-79,NOJ,32.0,49,,37.2,22.6,2.5,5.0,1.2,0.4,4.1,8.9,21.1,0.421,,,,4.8,5.7,0.841,0.4787
Pete Maravich,77459,1979-80,BOS,33.0,26,4.0,17.0,11.5,1.5,1.1,0.3,0.1,1.4,4.7,9.6,0.494,0.1,0.2,0.75,1.9,2.1,0.909,0.5464
Pete Maravich,77459,1979-80,UTH,33.0,17,,30.7,17.1,2.4,3.2,0.9,0.2,2.6,7.1,17.3,0.412,0.4,0.6,0.636,2.4,2.9,0.82,0.4603
Pete Maravich,77459,1979-80,TOT,33.0,43,,22.4,13.7,1.8,1.9,0.6,0.1,1.9,5.7,12.6,0.449,0.2,0.3,0.667,2.1,2.4,0.867,0.5016
Bob McAdoo,77498,1972-73,BUF,21.0,80,,32.0,18.0,9.1,1.7,,,,7.3,16.2,0.452,,,,3.4,4.4,0.774,0.4963
Bob McAdoo,77498,1973-74,BUF,22.0,74,,43.0,30.6,15.1,2.3,1.2,3.3,,12.2,22.3,0.547,,,,6.2,7.8,0.793,0.5946
Bob McAdoo,77498,1974-75,BUF,23.0,82,,43.2,34.5,14.1,2.2,1.1,2.1,,13.4,26.1,0.512,,,,7.8,9.7,0.805,0.568
Bob McAdoo,77498,1975-76,BUF,24.0,78,,42.7,31.1,12.4,4.0,1.2,2.1,,12.0,24.6,0.487,,,,7.2,9.4,0.762,0.5411
Bob McAdoo,77498,1976-77,BUF,25.0,20,,38.4,23.7,13.2,3.3,0.8,1.7,,9.1,20.0,0.455,,,,5.5,7.9,0.696,0.5048
Bob McAdoo,77498,1976-77,NYK,25.0,52,,39.1,26.7,12.7,2.7,1.2,1.3,,10.7,20.1,0.534,,,,5.2,6.9,0.757,0.577
Bob McAdoo,77498,1976-77,TOT,25.0,72,,38.9,25.8,12.9,2.8,1.1,1.4,,10.3,20.1,0.512,,,,5.3,7.2,0.738,0.5544
Bob McAdoo,77498,1977-78,NYK,26.0,79,,40.3,26.5,12.8,3.8,1.3,1.6,4.4,10.3,19.8,0.52,,,,5.9,8.2,0.727,0.566
Bob McAdoo,77498,1978-79,NYK,27.0,40,,39.9,26.9,9.5,3.2,1.6,1.2,3.8,10.7,19.8,0.541,,,,5.5,8.4,0.651,0.5724
Bob McAdoo,77498,1978-79,BOS,27.0,20,,31.9,20.6,7.1,2.0,0.6,1.0,3.2,8.4,16.7,0.5,,,,3.9,5.8,0.67,0.535
Bob McAdoo,77498,1978-79,TOT,27.0,60,,37.2,24.8,8.7,2.8,1.2,1.1,3.6,9.9,18.8,0.529,,,,4.9,7.5,0.656,0.5611
Bob McAdoo,77498,1979-80,DET,28.0,58,,36.2,21.1,8.1,3.4,1.3,1.1,4.1,8.5,17.7,0.48,0.1,0.4,0.125,4.1,5.6,0.73,0.5232
Bob McAdoo,77498,1980-81,DET,29.0,6,,28.0,12.0,6.8,3.3,1.3,1.2,3.0,5.0,13.7,0.366,0.0,0.0,0.0,2.0,3.3,0.6,0.396
Bob McAdoo,77498,1980-81,NJN,29.0,10,,15.3,9.3,2.6,1.0,0.9,0.6,1.4,3.8,7.5,0.507,0.0,0.1,0.0,1.7,2.1,0.81,0.552
Bob McAdoo,77498,1980-81,TOT,29.0,16,,20.1,10.3,4.2,1.9,1.1,0.8,2.0,4.3,9.8,0.433,0.0,0.1,0.0,1.8,2.6,0.707,0.4706
Bob McAdoo,77498,1981-82,LAL,30.0,41,0.0,18.2,9.6,3.9,0.8,0.5,0.9,1.2,3.7,8.0,0.458,0.0,0.1,0.0,2.2,3.1,0.714,0.5126
Bob McAdoo,77498,1982-83,LAL,31.0,47,1.0,21.7,15.0,5.3,0.8,0.9,0.9,1.4,6.2,12.0,0.52,0.0,0.0,0.0,2.5,3.5,0.73,0.5539
Bob McAdoo,77498,1983-84,LAL,32.0,70,0.0,20.8,13.1,4.1,1.1,0.6,0.7,1.8,5.0,10.7,0.471,0.0,0.1,0.0,3.0,3.8,0.803,0.5294
Bob McAdoo,77498,1984-85,LAL,33.0,66,0.0,19.0,10.5,4.5,1.0,0.3,0.8,1.4,4.3,8.3,0.52,0.0,0.0,0.0,1.8,2.5,0.753,0.5585
Bob McAdoo,77498,1985-86,PHL,34.0,29,0.0,21.0,10.1,3.6,1.2,0.3,0.6,1.7,4.0,8.7,0.462,0.0,0.0,,2.1,2.8,0.765,0.5085
Kevin McHale,1450,1980-81,BOS,23.0,82,1.0,20.1,10.0,4.4,0.7,0.3,1.8,1.3,4.3,8.1,0.533,0.0,0.0,0.0,1.3,1.9,0.679,0.5595
Kevin McHale,1450,1981-82,BOS,24.0,82,33.0,28.4,13.6,6.8,1.1,0.4,2.3,1.7,5.7,10.7,0.531,0.0,0.0,0.0,2.3,3.0,0.754,0.5657
Kevin McHale,1450,1982-83,BOS,25.0,82,13.0,28.6,14.1,6.7,1.3,0.4,2.3,1.9,5.9,10.9,0.541,0.0,0.0,0.0,2.4,3.3,0.717,0.5708
Kevin McHale,1450,1983-84,BOS,26.0,82,10.0,31.4,18.4,7.4,1.3,0.3,1.5,1.8,7.2,12.9,0.556,0.0,0.0,0.333,4.1,5.4,0.765,0.6023
Kevin McHale,1450,1984-85,BOS,27.0,79,31.0,33.6,19.8,9.0,1.8,0.4,1.5,2.0,7.7,13.4,0.57,0.0,0.1,0.0,4.5,5.9,0.76,0.6189
Kevin McHale,1450,1985-86,BOS,28.0,68,62.0,35.3,21.3,8.1,2.7,0.4,2.0,2.2,8.3,14.4,0.574,0.0,0.0,0.0,4.8,6.2,0.776,0.6218
Kevin McHale,1450,1986-87,BOS,29.0,77,77.0,39.7,26.1,9.9,2.6,0.5,2.2,2.6,10.3,17.0,0.604,0.0,0.1,0.0,5.6,6.6,0.836,0.6556
Kevin McHale,1450,1987-88,BOS,30.0,64,63.0,37.3,22.6,8.4,2.7,0.4,1.4,2.2,8.6,14.2,0.604,0.0,0.0,0.0,5.4,6.8,0.797,0.6573
Kevin McHale,1450,1988-89,BOS,31.0,78,74.0,36.9,22.5,8.2,2.2,0.3,1.2,2.5,8.5,15.5,0.546,0.0,0.1,0.0,5.6,6.8,0.818,0.6084
Kevin McHale,1450,1989-90,BOS,32.0,82,25.0,33.2,20.9,8.3,2.1,0.4,1.9,2.2,7.9,14.4,0.549,0.3,0.8,0.333,4.8,5.4,0.893,0.6229
Kevin McHale,1450,1990-91,BOS,33.0,68,10.0,30.4,18.4,7.1,1.9,0.4,2.1,2.1,7.4,13.4,0.553,0.2,0.5,0.405,3.4,4.0,0.829,0.6069
Kevin McHale,1450,1991-92,BOS,34.0,56,1.0,25.0,13.9,5.9,1.5,0.2,1.1,1.5,5.8,11.3,0.509,0.0,0.2,0.0,2.4,2.9,0.822,0.5526
Kevin McHale,1450,1992-93,BOS,35.0,71,0.0,23.3,10.7,5.0,1.0,0.2,0.8,1.3,4.2,9.1,0.459,0.0,0.3,0.111,2.3,2.7,0.841,0.52
George Mikan,600012,1948-49,MNL,25.0,60,,,28.3,,3.6,,,,9.7,23.4,0.416,,,,8.9,11.5,0.772,0.4972
George Mikan,600012,1949-50,MNL,26.0,68,,,27.4,,2.9,,,,9.5,23.5,0.407,,,,8.3,10.7,0.779,0.4857
George Mikan,600012,1950-51,MNL,27.0,68,,,28.4,14.1,3.1,,,,10.0,23.3,0.428,,,,8.5,10.5,0.803,0.5086
George Mikan,600012,1951-52,MNL,28.0,64,,40.2,23.8,13.5,3.0,,,,8.5,22.1,0.385,,,,6.8,8.7,0.78,0.459
George Mikan,600012,1952-53,MNL,29.0,70,,37.9,20.6,14.4,2.9,,,,7.1,17.9,0.399,,,,6.3,8.1,0.78,0.4799
George Mikan,600012,1953-54,MNL,30.0,72,,32.8,18.1,14.3,2.4,,,,6.1,16.1,0.38,,,,5.9,7.6,0.777,0.4654
George Mikan,600012,1955-56,MNL,32.0,37,,20.7,10.5,8.3,1.4,,,,4.0,10.1,0.395,,,,2.5,3.3,0.77,0.4545
Reggie Miller,397,1987-88,IND,22.0,82,1.0,22.4,10.0,2.3,1.6,0.6,0.2,1.2,3.7,7.6,0.488,0.7,2.1,0.355,1.8,2.3,0.801,0.5806
Reggie Miller,397,1988-89,IND,23.0,74,70.0,34.3,16.0,3.9,3.1,1.3,0.4,1.9,5.4,11.2,0.479,1.3,3.3,0.402,3.9,4.6,0.844,0.605
Reggie Miller,397,1989-90,IND,24.0,82,82.0,38.9,24.6,3.6,3.8,1.3,0.2,2.7,8.1,15.7,0.514,1.8,4.4,0.414,6.6,7.6,0.868,0.6459
Reggie Miller,397,1990-91,IND,25.0,82,82.0,36.2,22.6,3.4,4.0,1.3,0.2,2.0,7.3,14.2,0.512,1.4,3.9,0.348,6.7,7.3,0.918,0.649
Reggie Miller,397,1991-92,IND,26.0,82,82.0,38.0,20.7,3.9,3.8,1.3,0.3,1.9,6.9,13.7,0.501,1.6,4.2,0.378,5.4,6.3,0.858,0.6283
Reggie Miller,397,1992-93,IND,27.0,82,82.0,36.0,21.2,3.1,3.2,1.5,0.3,1.8,7.0,14.5,0.479,2.0,5.1,0.399,5.2,5.9,0.88,0.62
Reggie Miller,397,1993-94,IND,28.0,79,79.0,33.4,19.9,2.7,3.1,1.5,0.3,2.2,6.6,13.2,0.503,1.6,3.7,0.421,5.1,5.6,0.908,0.6352
Reggie Miller,397,1994-95,IND,29.0,81,81.0,32.9,19.6,2.6,3.0,1.2,0.2,1.9,6.2,13.5,0.462,2.4,5.8,0.415,4.7,5.3,0.897,0.619
Reggie Miller,397,1995-96,IND,30.0,76,76.0,34.5,21.1,2.8,3.3,1.0,0.2,2.5,6.6,14.0,0.473,2.2,5.4,0.41,5.7,6.6,0.863,0.6241
Reggie Miller,397,1996-97,IND,31.0,81,81.0,36.6,21.6,3.5,3.4,0.9,0.3,2.0,6.8,15.4,0.444,2.8,6.6,0.427,5.2,5.9,0.88,0.6001
Reggie Miller,397,1997-98,IND,32.0,81,81.0,34.5,19.5,2.9,2.1,1.0,0.1,1.6,6.4,13.3,0.477,2.0,4.7,0.429,4.7,5.4,0.868,0.622
Reggie Miller,397,1998-99,IND,33.0,50,50.0,35.7,18.4,2.7,2.2,0.7,0.2,1.5,5.9,13.4,0.438,2.1,5.5,0.385,4.5,4.9,0.915,0.5914
Reggie Miller,397,1999-00,IND,34.0,81,81.0,36.9,18.1,3.0,2.3,1.0,0.3,1.6,5.8,12.9,0.448,2.0,5.0,0.408,4.6,5.0,0.919,0.5993
Reggie Miller,397,2000-01,IND,35.0,81,81.0,39.3,18.9,3.5,3.2,1.0,0.2,1.6,6.4,14.5,0.44,2.1,5.7,0.366,4.0,4.3,0.928,0.5765
Reggie Miller,397,2001-02,IND,36.0,79,79.0,36.6,16.5,2.8,3.2,1.1,0.1,1.5,5.2,11.6,0.453,2.3,5.6,0.406,3.7,4.1,0.911,0.6155
Reggie Miller,397,2002-03,IND,37.0,70,70.0,30.2,12.6,2.5,2.4,0.9,0.1,0.9,4.0,9.1,0.441,1.6,4.5,0.355,3.0,3.3,0.9,0.597
Reggie Miller,397,2003-04,IND,38.0,80,80.0,28.2,10.0,2.4,3.1,0.8,0.1,0.9,3.3,7.4,0.438,1.7,4.2,0.401,1.8,2.1,0.885,0.6007
Reggie Miller,397,2004-05,IND,39.0,66,66.0,31.9,14.8,2.4,2.2,0.8,0.1,1.2,4.8,10.9,0.437,1.5,4.5,0.322,3.8,4.1,0.933,0.5825
Earl Monroe,600006,1967-68,BLT,23.0,82,,36.7,24.3,5.7,4.3,,,,9.0,20.0,0.453,,,,6.2,7.9,0.781,0.5175
Earl Monroe,600006,1968-69,BLT,24.0,80,,38.4,25.8,3.5,4.9,,,,10.1,23.0,0.44,,,,5.6,7.3,0.768,0.4921
Earl Monroe,600006,1969-70,BLT,25.0,82,,37.2,23.4,3.1,4.9,,,,8.5,19.0,0.446,,,,6.5,7.8,0.83,0.5216
Earl Monroe,600006,1970-71,BLT,26.0,81,,35.1,21.4,2.6,4.4,,,,8.2,18.5,0.442,,,,5.0,6.2,0.802,0.5041
Earl Monroe,600006,1971-72,NYK,27.0,60,,20.6,11.4,1.5,2.2,,,,4.4,10.0,0.436,,,,2.7,3.4,0.786,0.4958
Earl Monroe,600006,1971-72,BLT,27.0,3,,34.3,21.7,2.7,3.3,,,,8.7,21.3,0.406,,,,4.3,6.0,0.722,0.4532
Earl Monroe,600006,1971-72,TOT,27.0,63,,21.2,11.9,1.6,2.3,,,,4.6,10.5,0.434,,,,2.8,3.6,0.781,0.4924
Earl Monroe,600006,1972-73,NYK,28.0,75,,31.6,15.5,3.3,3.8,,,,6.6,13.5,0.488,,,,2.3,2.8,0.822,0.5261
Earl Monroe,600006,1973-74,NYK,29.0,41,,29.1,14.0,3.0,2.7,0.8,0.5,,5.9,12.5,0.468,,,,2.3,2.8,0.823,0.5098
Earl Monroe,600006,1974-75,NYK,30.0,78,,36.1,20.9,4.2,3.5,1.4,0.4,,8.6,18.7,0.457,,,,3.8,4.6,0.827,0.5042
Earl Monroe,600006,1975-76,NYK,31.0,76,,38.0,20.7,3.6,4.0,1.5,0.3,,8.5,17.8,0.478,,,,3.7,4.7,0.787,0.5209
Earl Monroe,600006,1976-77,NYK,32.0,77,,34.5,19.9,2.9,4.8,1.2,0.3,,8.0,15.4,0.517,,,,4.0,4.8,0.839,0.5682
Earl Monroe,600006,1977-78,NYK,33.0,76,,31.2,17.8,2.4,4.8,0.8,0.3,2.4,7.3,14.8,0.495,,,,3.2,3.8,0.832,0.5403
Earl Monroe,600006,1978-79,NYK,34.0,64,,21.8,12.3,1.2,3.0,0.8,0.1,1.5,5.1,10.9,0.471,,,,2.0,2.4,0.838,0.5144
Earl Monroe,600006,1979-80,NYK,35.0,51,,12.4,7.4,0.7,1.3,0.4,0.1,0.5,3.2,6.9,0.457,0.0,0.0,,1.1,1.3,0.875,0.4952
